gameid,date_time,aces,twos,threes,fours,fives,sixes,3_kind,4_kind,full_house,sm_str,lg_str,yat,chance,upper_bonus,yah_bonus,total_score
1,10:21.7,1,6,9,12,15,24,25,0,25,30,40,0,24,35,0,246
2,24:01.9,2,2,6,16,20,24,27,0,25,30,40,0,13,35,0,240
3,28:10.7,3,6,9,12,15,18,20,0,25,30,40,50,18,35,0,281
4,33:06.9,4,6,9,16,20,12,19,14,25,30,0,0,19,35,0,209
5,36:37.4,1,6,9,12,10,18,15,0,25,30,40,0,20,0,0,186
6,46:01.4,4,6,12,12,15,18,19,0,25,30,40,0,20,35,0,236
7,50:50.7,3,4,12,16,20,18,21,29,25,30,40,0,24,35,0,277
8,02:23.6,4,4,9,16,20,12,21,0,0,30,40,0,20,35,0,211
9,02:12.2,3,4,9,12,15,18,24,0,25,30,40,0,17,0,0,197
10,04:55.9,3,8,9,12,15,18,26,21,25,30,40,50,20,35,0,312
11,31:39.1,4,6,9,8,15,24,27,0,25,30,0,50,19,35,0,252
12,35:23.7,1,4,12,16,15,24,23,0,25,30,40,0,23,35,0,248
13,15:59.2,1,2,6,12,15,12,23,0,25,0,40,0,26,0,0,162
14,19:23.1,2,8,6,16,20,18,26,0,25,30,0,50,20,35,0,256
15,37:08.7,3,10,6,12,10,18,27,22,25,30,0,0,22,0,0,185
16,2020-11-21 12:10:15.011514,1,6,6,16,20,18,22,26,25,30,40,0,22,35,0,267
17,2020-11-21 12:14:47.435859,1,4,3,16,15,18,23,12,25,30,40,0,18,0,0,205
18,2020-11-21 12:17:52.159664,3,8,9,8,20,24,24,0,25,30,40,0,12,35,0,238
19,2020-11-21 12:21:32.930248,1,6,9,8,20,24,24,10,25,30,0,50,21,35,0,263
20,2020-11-21 12:32:59.793920,0,6,9,12,15,18,19,0,25,30,40,50,20,0,0,244
21,2020-11-21 12:36:11.021722,1,8,9,12,15,18,24,0,25,30,40,50,17,35,0,284
22,2020-11-21 12:49:38.732146,3,2,6,16,20,12,15,0,25,30,40,0,21,0,0,190
23,2020-11-21 12:53:06.726628,2,8,9,16,15,18,24,0,25,30,40,0,20,35,0,242
24,2020-11-21 12:56:50.054767,2,4,9,16,20,18,17,13,25,30,0,0,15,35,0,204
25,2020-11-21 19:18:48.679601,0,4,6,16,20,18,16,26,25,30,40,0,23,35,0,259
26,2020-11-21 19:21:56.830839,3,8,9,16,10,18,17,29,25,30,40,50,17,35,0,307
27,2020-11-21 19:28:32.397659,3,4,12,16,10,12,25,0,0,0,0,0,21,0,0,103
28,2020-11-22 13:22:13.433088,1,8,9,16,15,18,12,0,25,30,0,0,18,35,0,187
29,2020-11-22 20:09:34.901605,3,4,6,16,20,24,23,24,25,30,40,0,23,35,0,273
30,2020-11-22 20:14:03.708480,4,4,6,16,10,24,27,26,25,30,40,0,17,35,0,264
31,2020-11-24 14:21:38.212796,2,6,12,16,10,18,21,0,25,30,40,50,18,35,0,283
32,2020-11-24 16:35:40.090467,2,8,6,8,15,24,24,23,25,30,40,50,20,35,0,310
33,2020-11-24 16:38:46.754682,3,8,9,16,20,12,23,0,25,30,40,50,18,35,0,289
